391.99,9.239,2.565,2,17.07,132.56,0,32,0,5,36,0,2,0,0,0,1,0,1,1,1,1
243.98,0.878,1.783,4,34.14,74.98,3,19,0,1,16,0,4,2,1,0,1,0,1,1,1,2
134,2.572,0.673,1,12.89,26.65,0,11,0,2,12,1,1,0,1,0,1,0,1,1,1,2
379.97,4.101,1.956,0,30.21,64.37,5,30,0,3,27,3,0,0,1,1,1,0,1,1,1,0
167.97,-3.325,-2.791,6,17.07,37.35,5,12,0,0,6,0,6,0,1,0,1,0,1,1,1,2
231.98,2.155,-1.448,2,34.14,15.82,0,18,0,3,20,2,2,0,1,0,1,0,1,1,1,2
255.96,-0.238,-2.667,5,18.46,37.54,3,19,0,2,17,1,5,0,1,0,1,0,1,1,1,2
275.97,0.406,-2.494,1,9.23,26.1,1,21,0,3,22,2,1,0,1,0,1,0,1,1,1,2
243.98,1.81,-1.381,0,0,7.69,1,19,0,3,20,3,0,1,1,0,1,0,1,1,1,2
207.98,1.831,0.622,0,36.92,37.01,4,16,0,2,13,1,0,0,1,0,1,0,1,1,1,2
271.99,9.846,-5.05,2,17.07,67.16,18,22,0,0,3,0,2,1,0,0,0,0,1,1,1,1
172,-2.566,-2.469,6,17.07,39.41,7,13,0,0,5,0,6,3,1,0,1,0,1,1,1,2
176.97,-0.178,-1.759,6,26.3,36.46,2,12,0,1,10,0,6,3,1,0,1,0,1,1,1,2
439.97,7.439,0.17,5,17.07,137.08,2,35,0,5,37,0,5,0,0,0,1,0,0,1,1,1
391.94,-1.59,-2.757,11,80.29,89.71,6,29,0,4,26,0,11,3,0,0,1,1,0,1,1,1
427.94,-0.522,-4.006,5,48.67,49.64,4,32,0,4,31,3,5,0,1,0,1,0,0,1,1,1
675.92,-0.683,-2.56,16,154.65,163.29,10,51,0,8,48,0,16,5,0,0,0,1,0,0,0,0
303.98,4.164,0.085,1,26.3,46.42,3,24,0,3,23,2,1,2,1,1,1,0,1,1,1,2
295.99,10.984,-5.626,2,17.07,72.99,20,24,0,0,3,0,2,1,0,0,0,0,1,0,0,0
194,5.597,0.025,1,4.93,7.61,0,16,0,3,16,3,1,0,0,0,1,0,1,1,1,1
207.98,1.687,-0.297,0,52.58,15.23,1,16,0,3,17,3,0,2,1,0,1,0,1,1,1,2
167.97,-1.697,-2.513,6,9.23,35.92,1,12,0,1,11,0,6,0,1,0,1,0,1,1,1,2
135.99,3.286,1.464,1,0,47.73,5,11,0,0,5,0,1,0,1,0,1,0,1,1,1,2
151.97,-0.994,-2.013,5,9.23,34.55,0,11,0,1,11,0,5,0,1,0,1,0,1,1,1,2
391.99,9.714,2.141,2,0,131.81,2,32,0,5,34,0,2,0,0,0,1,0,1,1,1,1
367.99,0.632,-0.88,4,51.24,82.47,2,29,0,7,33,1,4,0,1,1,1,0,1,1,1,0
259.97,1.326,-1.814,1,26.3,22.61,1,20,0,3,21,2,1,0,1,0,1,0,1,1,1,2
171.98,1.141,-0.799,2,17.07,22.59,2,13,0,1,11,1,2,1,1,0,1,0,1,1,1,2
491.95,1.844,-1.737,9,71.06,129.2,2,38,0,7,42,0,9,3,1,0,1,0,0,1,1,1
127.99,3.018,-1.594,2,17.07,32.23,6,10,0,0,3,0,2,1,1,0,1,0,1,1,1,2
480,14.734,8.935,0,0,189.29,10,40,0,2,31,0,0,1,0,0,1,0,0,0,1,1
135.99,1.756,1.595,1,17.07,46.59,1,11,0,1,10,0,1,0,1,0,1,0,1,1,1,2
791.91,0.296,-4.365,18,90.91,200.03,10,60,0,8,57,0,18,3,0,0,1,1,0,0,0,1
247.99,7.787,-2.157,2,17.07,67.36,12,20,0,1,7,0,2,1,0,0,0,0,1,1,1,1
287.97,0.772,-1.851,0,39.44,21.97,2,22,0,3,22,3,0,0,1,0,1,0,1,1,1,2
135.99,2.595,1.311,1,9.23,44.03,1,11,0,2,11,0,1,0,1,0,1,0,1,1,1,2
183.96,-2.064,-1.447,7,51.21,35.72,5,13,0,0,7,0,7,0,1,0,1,0,1,1,1,2
