  -5052.30,  15036.49,  30045.92,  -3452.42,  25419.85,  -3769.77,   -963.74,   1395.44,   -417.92,    873.31,     81.02,    -18.82,    -40.04,     35.50,    -68.77,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -5641.05,  16750.55,  33556.89,  -3889.56,  28347.17,  -2812.89,   -696.04,   1057.61,   -334.60,    683.96,    186.66,    -38.96,    -94.93,     71.59,   -151.18,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -14612.63,  43294.51,  86558.42,  -9992.01,  73213.85, -10514.60,  -2612.87,   3987.47,  -1246.82,   2540.91,    546.18,   -134.87,   -262.80,    251.60,   -470.46,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      1.00
 -14048.95,  40034.32,  80712.79,  -9907.87,  67909.62,  -6786.82,  -1683.10,   2526.34,   -798.56,   1644.65,    533.66,   -128.05,   -260.88,    239.34,   -457.91,      0.37,      0.37,      0.37,     -1.45,      0.37,      0.37,      0.00
 -10078.52,  28203.94,  56904.59,  -7092.20,  47910.23,  -2123.12,   -525.30,    728.90,   -239.90,    516.30,    334.48,    -82.28,   -164.02,    155.49,   -294.18,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -6501.51,  18808.68,  37816.77,  -4540.09,  31869.30,  -1957.90,   -494.25,    691.15,   -216.41,    462.41,    180.86,    -41.52,    -87.44,     80.35,   -155.89,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -18261.58,  53966.97, 108427.94, -12781.87,  91289.54, -10458.65,  -2594.72,   3934.68,  -1237.87,   2533.25,    697.40,   -159.84,   -334.39,    302.64,   -586.58,      0.32,      0.32,      0.32,     -0.73,      0.32,      0.32,      1.00
  -4512.86,  14257.10,  28458.93,  -3098.43,  23988.37,  -2590.65,   -676.27,    924.78,   -269.02,    580.59,     54.14,     -9.80,    -25.45,     20.36,    -43.18,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -17906.64,  53009.81, 105963.12, -12259.20,  89627.46, -14919.98,  -3756.79,   5624.00,  -1721.50,   3536.84,    495.77,   -124.82,   -233.61,    235.76,   -431.53,      0.12,      0.12,      0.12,     -0.53,      0.12,      0.12,      1.00
  -5108.27,  14882.05,  29915.79,  -3580.36,  25193.56,  -3705.15,   -923.61,   1403.48,   -436.73,    891.38,    160.60,    -38.95,    -78.00,     73.17,   -138.01,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -29445.94,  86976.12, 174600.90, -20514.50, 147171.43, -16177.35,  -4056.49,   6020.34,  -1866.34,   3858.34,    960.04,   -211.50,   -469.54,    395.04,   -793.06,      0.18,      0.18,      0.18,      0.31,      0.18,      0.18,      1.00
  -8847.19,  27630.73,  55099.10,  -6027.11,  46527.08,  -5401.78,  -1405.83,   1937.97,   -566.13,   1216.46,    118.89,    -26.20,    -56.07,     50.39,    -98.87,      0.30,      0.30,      0.30,     -1.09,      0.30,      0.30,      1.00
 -11292.53,  31063.46,  62856.06,  -8019.55,  52833.18,  -2114.61,   -528.43,    706.52,   -230.96,    506.91,    347.26,    -86.83,   -170.53,    165.03,   -310.13,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -5065.84,  14967.37,  29992.93,  -3505.83,  25313.15,  -3519.22,   -875.83,   1330.63,   -415.40,    848.59,    176.51,    -42.98,    -85.59,     80.70,   -151.85,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -6570.68,  20259.84,  40711.92,  -4654.13,  34165.97,  -2918.86,   -751.70,   1046.98,   -312.91,    668.53,    128.08,    -20.86,    -69.23,     36.89,    -95.45,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -23269.47,  66630.61, 134305.63, -16397.21, 112995.90,  -6171.91,  -1576.74,   2127.52,   -656.67,   1431.36,    630.64,   -142.57,   -309.79,    269.37,   -535.00,      0.18,      0.18,      0.18,      0.31,      0.18,      0.18,      1.00
 -10336.48,  29567.16,  59656.64,  -7319.06,  50120.29,  -1826.63,   -456.98,    597.65,   -196.73,    437.13,    333.88,    -81.80,   -165.27,    155.22,   -296.11,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -7856.82,  23295.41,  46744.93,  -5482.95,  39382.36,  -5530.13,  -1369.25,   2104.31,   -661.50,   1343.43,    297.68,    -70.24,   -135.84,    137.78,   -255.44,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -4803.70,  15148.75,  30227.41,  -3299.00,  25483.41,  -1763.78,   -446.34,    624.94,   -194.38,    415.00,    144.09,    -34.45,    -71.66,     65.36,   -126.09,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -6417.62,  19348.22,  38866.48,  -4507.46,  32662.75,  -1653.33,   -403.96,    583.12,   -193.84,    409.14,    257.44,    -61.14,   -128.39,    115.54,   -224.78,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -6428.20,  18300.79,  36866.50,  -4505.36,  31079.97,  -3034.31,   -780.61,   1098.20,   -327.73,    696.11,    109.63,    -17.83,    -59.30,     31.64,    -81.77,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -6252.46,  18504.89,  37077.81,  -4310.41,  31328.55,  -2932.47,   -731.23,   1091.47,   -342.01,    705.20,    189.20,    -37.96,    -97.26,     69.31,   -151.01,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -19354.72,  61127.83, 121892.12, -13197.64, 102842.08, -10936.63,  -2925.87,   3790.62,  -1053.91,   2351.43,     99.48,    -15.20,    -44.40,     32.89,    -75.21,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00
 -15112.95,  44456.80,  89082.88, -10424.93,  75235.91,  -9356.21,  -2311.93,   3545.12,  -1119.97,   2279.24,    601.54,   -143.94,   -292.58,    267.37,   -511.49,      0.21,      0.21,      0.21,     -0.95,      0.21,      0.21,      1.00
 -12755.62,  37315.96,  74886.24,  -8856.28,  63172.27,  -7999.34,  -1982.54,   3024.63,   -951.32,   1940.43,    491.32,   -116.51,   -233.36,    221.42,   -418.99,      0.37,      0.37,      0.37,     -1.45,      0.37,      0.37,      2.00
 -11395.20,  31626.85,  63846.39,  -8019.11,  53771.64,  -2456.43,   -607.82,    850.34,   -278.85,    597.29,    368.84,    -89.32,   -181.54,    168.28,   -321.71,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
 -13956.26,  40890.42,  81975.27,  -9643.57,  69210.80,  -9172.51,  -2266.62,   3483.04,  -1099.21,   2234.35,    564.63,   -137.89,   -272.73,    256.86,   -484.14,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      1.00
  -5641.05,  16750.55,  33556.89,  -3889.56,  28347.17,  -2812.89,   -696.04,   1057.61,   -334.60,    683.96,    186.66,    -38.96,    -94.93,     71.59,   -151.18,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -7260.61,  21474.97,  43183.08,  -5104.73,  36316.86,  -2524.70,   -622.05,    922.55,   -297.71,    617.62,    262.98,    -60.65,   -127.73,    115.74,   -224.96,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -3543.84,  10669.48,  21588.59,  -2571.80,  18016.94,  -1299.46,   -333.15,    461.40,   -139.79,    299.75,     70.18,    -12.79,    -37.12,     23.40,    -54.59,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
  -7105.54,  20836.50,  41852.50,  -4949.85,  35270.89,  -4245.77,  -1067.04,   1580.92,   -487.90,   1009.24,    213.42,    -49.02,   -105.44,     91.21,   -179.21,      0.48,      0.48,      0.48,     -1.22,      0.48,      0.48,      2.00
